Names,Source,Location,Assembly Status
Escherichia marmotae_HUSEmarmC1,Human,Northern_Europe,Contig
Escherichia marmotae_HUSEmarmC4a,Human,Northern_Europe,Contig
Escherichia marmotae_HUSEmarmC4b,Human,Northern_Europe,Contig
Escherichia coli_CFT073,Human,USA,Complete
Escherichia coli_SE15,Human,Japan,Complete
Escherichia coli_12009,Human,Japan,Complete
Escherichia coli_536,Human,Western_Europe,Complete
Escherichia coli_HS,Human,USA,Complete
Escherichia coli_SMS-3-5,Environment,USA,Complete
Escherichia coli_55989,Human,Western_Europe,Complete
Escherichia coli_S88,Human,Western_Europe,Complete
Escherichia coli_ED1a,Human,Western_Europe,Complete
Escherichia coli_UMN026,Human,Western_Europe,Complete
Escherichia coli_42,Human,UK,Complete
Escherichia coli_11368,Human,Japan,Complete
Escherichia coli_B7A,Human,USA,Contig
Escherichia coli_E110019,Human,USA,Complete
Escherichia coli_53638,Human,USA,Contig
Escherichia coli_101-1,Human,USA,Contig
Escherichia coli_H299,Human,USA,Scaffold
Escherichia fergusonii_B253,Bird,USA,Scaffold
Escherichia sp._TW09231,Environment,USA,Contig
Escherichia coli_NA114,Human,Pakistan,Contig
Escherichia coli_LF82,Human,Western_Europe,Complete
Escherichia coli_4608-58,Human,USA,Contig
Escherichia albertii_94389,Human,Japan,Scaffold
Escherichia albertii_HIPH08472,Human,Japan,Scaffold
Escherichia sp._B1147,Bird,USA,Contig
Escherichia coli_ECOR31,Domesticated_Animal,USA,Scaffold
Escherichia coli_H605,Human,USA,Scaffold
Escherichia coli_H223,Human,USA,Scaffold
Escherichia coli_ECOR60,Human,Northern_Europe,Contig
Escherichia coli_ECOR63,Human,Northern_Europe,Contig
Escherichia coli_ECOR64,Human,Northern_Europe,Contig
Escherichia coli_ECOR01,Human,USA,Contig
Escherichia coli_ECOR42,Human,USA,Contig
Escherichia coli_ECOR49,Human,Northern_Europe,Contig
Escherichia coli_E24377A,Human,Pakistan,Complete
Escherichia coli_RDEx444,Human,Western_Europe,Contig
Escherichia coli_S286,Human,Western_Europe,Contig
Escherichia ruysiae_OPT1704,Human,Western_Europe,Contig
Escherichia marmotae_510393,Wildlife,Ireland,Contig
Escherichia coli_510394,Wildlife,Ireland,Contig
Escherichia coli_510395,Wildlife,Ireland,Contig
Escherichia coli_510396,Wildlife,Ireland,Contig
Escherichia coli_510405,Wildlife,Ireland,Contig
Escherichia coli_510407,Wildlife,Ireland,Contig
Escherichia marmotae_510408,Wildlife,Ireland,Contig
Escherichia marmotae_510409,Wildlife,Ireland,Contig
Escherichia marmotae_510410,Wildlife,Ireland,Contig
Escherichia coli_510411,Wildlife,Ireland,Contig
Escherichia marmotae_510291,Forest_soil,Eastern_Europe,Contig
